1,DD211030034B,1578618006194579,-69
1,DD211030037B,1578618032418354,-67
1,DD211030027B,1578618048694950,-68
1,DD211030008B,1578618082735715,-66
1,DD211030015B,1578618094193686,-67
1,DD211030028B,1578618127380069,-64
1,DD211030019B,1578618138252724,-69
1,DD211030023B,1578618177676545,-67
1,DD211030017B,1578618189436194,-67
1,DD211030012B,1578618211445107,-68
1,DD211030036B,1578618237640983,-69
1,DD211030010B,1578618260360466,-67
1,DD211030029B,1578618273914933,-63
1,DD211030024B,1578618306241394,-66
1,DD211030002B,1578618327971740,-65
1,DD211030016B,1578618365029448,-66
1,DD211030003B,1578618376373597,-68
1,DD211030035B,1578618406273698,-65
1,DD211030005B,1578618417856349,-66
1,DD211030001B,1578618433002629,-67
1,DD211030025B,1578618447184142,-67
1,DD211030006B,1578618477584894,-65
1,DD211030038B,1578618489637736,-66
1,DD211030032B,1578618519997988,-69
1,DD211030033B,1578618534323812,-68
1,DD211030030B,1578618572977373,-64
1,DD211030034B,1578618596807179,-69
