1,DD211030011B,1577600783934058,-67
1,DD211030011B,1577600797603282,-70
1,DD211030011B,1577600804040403,-69
1,DD211030011B,1577600814681464,-69
1,DD211030025B,1577600822323009,-65
1,DD211030025B,1577600830254571,-66
1,DD211030011B,1577600847100986,-65
1,DD211030025B,1577600847944388,-68
1,DD211030011B,1577600855450221,-68
1,DD211030025B,1577600861260523,-66
1,DD211030001B,1577600863784133,-67
1,DD211030025B,1577600869311164,-66
1,DD211030011B,1577600872905730,-66
1,DD211030011B,1577600882019562,-64
1,DD211030025B,1577600883588292,-66
1,DD211030001B,1577600889995988,-69
1,DD211030001B,1577600912291960,-68
1,DD211030025B,1577600915709842,-65
1,DD211030025B,1577600922822893,-64
1,DD211030001B,1577600925075850,-69
1,DD211030001B,1577600940743972,-69
1,DD211030001B,1577600959374902,-63
1,DD211030025B,1577600968921392,-62
1,DD211030025B,1577600981596543,-65
1,DD211030025B,1577600990706222,-67
1,DD211030025B,1577601031004094,-66
1,DD211030025B,1577601050510381,-64
1,DD211030011B,1577601056648389,-68
1,DD211030011B,1577601091508894,-70
1,DD211030011B,1577601104913402,-69
1,DD211030011B,1577601118520759,-66
